Stat,Rank,Value,Team,Year
Team Passing Efficiency,65,129.44,"Nebraska  Cornhuskers, Huskers",2014
Scoring Offense,48,31.9,"Nebraska  Cornhuskers, Huskers",2014
Total Defense,40,370.8,"Nebraska  Cornhuskers, Huskers",2014
Rushing Defense,53,156.2,"Nebraska  Cornhuskers, Huskers",2014
Passing Yards Allowed,33,214.6,"Nebraska  Cornhuskers, Huskers",2014
Team Passing Efficiency Defense,46,121.77,"Nebraska  Cornhuskers, Huskers",2014
Scoring Defense,50,24.8,"Nebraska  Cornhuskers, Huskers",2014
Turnover Margin,T-117,-0.85,"Nebraska  Cornhuskers, Huskers",2014
3rd Down Conversion Pct,72,0.392,"Nebraska  Cornhuskers, Huskers",2014
4th Down Conversion Pct,T-12,0.667,"Nebraska  Cornhuskers, Huskers",2014
3rd Down Conversion Pct Defense,6,0.309,"Nebraska  Cornhuskers, Huskers",2014
4th Down Conversion Pct Defense,21,0.381,"Nebraska  Cornhuskers, Huskers",2014
Red Zone Offense,24,0.880,"Nebraska  Cornhuskers, Huskers",2014
Red Zone Defense,107,0.886,"Nebraska  Cornhuskers, Huskers",2014
Net Punting,38,37.93,"Nebraska  Cornhuskers, Huskers",2014
Punt Returns,121,3.04,"Nebraska  Cornhuskers, Huskers",2014
Kickoff Returns,40,22.78,"Nebraska  Cornhuskers, Huskers",2014
First Downs Offense,42,289,"Nebraska  Cornhuskers, Huskers",2014
First Downs Defense,T-58,261,"Nebraska  Cornhuskers, Huskers",2014
Fewest Penalties Per Game,77,5.85,"Nebraska  Cornhuskers, Huskers",2014
Fewest Penalty Yards Per Game,82,51.15,"Nebraska  Cornhuskers, Huskers",2014
Time of Possession,75,29:20,"Nebraska  Cornhuskers, Huskers",2014
Total Offense,45,429.3,Nevada  Wolf Pack,2014
Rushing Offense,51,179.0,Nevada  Wolf Pack,2014
Passing Offense,45,250.3,Nevada  Wolf Pack,2014
Team Passing Efficiency,40,138.16,Nevada  Wolf Pack,2014
Scoring Offense,75,26.9,Nevada  Wolf Pack,2014
Total Defense,117,505.3,Nevada  Wolf Pack,2014
Rushing Defense,122,258.5,Nevada  Wolf Pack,2014
Passing Yards Allowed,85,246.8,Nevada  Wolf Pack,2014
Team Passing Efficiency Defense,98,143.82,Nevada  Wolf Pack,2014
Scoring Defense,102,34.4,Nevada  Wolf Pack,2014
Turnover Margin,23,0.58,Nevada  Wolf Pack,2014
3rd Down Conversion Pct,43,0.432,Nevada  Wolf Pack,2014
4th Down Conversion Pct,57,0.500,Nevada  Wolf Pack,2014
3rd Down Conversion Pct Defense,118,0.478,Nevada  Wolf Pack,2014
4th Down Conversion Pct Defense,10,0.333,Nevada  Wolf Pack,2014
Red Zone Offense,59,0.827,Nevada  Wolf Pack,2014
Red Zone Defense,112,0.894,Nevada  Wolf Pack,2014
Net Punting,46,37.55,Nevada  Wolf Pack,2014
Punt Returns,67,7.75,Nevada  Wolf Pack,2014
Kickoff Returns,116,17.89,Nevada  Wolf Pack,2014
First Downs Offense,T-56,278,Nevada  Wolf Pack,2014
First Downs Defense,89,282,Nevada  Wolf Pack,2014
Fewest Penalties Per Game,70,5.75,Nevada  Wolf Pack,2014
Fewest Penalty Yards Per Game,60,46.08,Nevada  Wolf Pack,2014
Time of Possession,14,32:25,Nevada  Wolf Pack,2014
Total Offense,53,421.8,New Mexico  Lobos,2014
Rushing Offense,4,308.8,New Mexico  Lobos,2014
Passing Offense,120,113.0,New Mexico  Lobos,2014
Team Passing Efficiency,74,126.33,New Mexico  Lobos,2014
Scoring Offense,42,32.8,New Mexico  Lobos,2014
Total Defense,119,516.6,New Mexico  Lobos,2014
Rushing Defense,120,257.2,New Mexico  Lobos,2014
Passing Yards Allowed,101,259.4,New Mexico  Lobos,2014
Team Passing Efficiency Defense,123,172.77,New Mexico  Lobos,2014
Scoring Defense,118,42.8,New Mexico  Lobos,2014
Turnover Margin,T-86,-0.33,New Mexico  Lobos,2014
3rd Down Conversion Pct,T-86,0.375,New Mexico  Lobos,2014
4th Down Conversion Pct,T-47,0.536,New Mexico  Lobos,2014
3rd Down Conversion Pct Defense,121,0.493,New Mexico  Lobos,2014
4th Down Conversion Pct Defense,111,0.682,New Mexico  Lobos,2014
Red Zone Offense,10,0.905,New Mexico  Lobos,2014
Red Zone Defense,108,0.887,New Mexico  Lobos,2014
Net Punting,15,39.55,New Mexico  Lobos,2014
Punt Returns,107,4.62,New Mexico  Lobos,2014
Kickoff Returns,15,24.00,New Mexico  Lobos,2014
First Downs Offense,86,241,New Mexico  Lobos,2014
First Downs Defense,109,294,New Mexico  Lobos,2014
Fewest Penalties Per Game,5,3.67,New Mexico  Lobos,2014
Fewest Penalty Yards Per Game,3,30.25,New Mexico  Lobos,2014
Time of Possession,17,32:20,New Mexico  Lobos,2014
Total Offense,81,385.2,New Mexico St. Aggies,2014
Rushing Offense,88,144.3,New Mexico St. Aggies,2014
Passing Offense,55,240.9,New Mexico St. Aggies,2014
Team Passing Efficiency,54,132.98,New Mexico St. Aggies,2014
Scoring Offense,103,20.9,New Mexico St. Aggies,2014
Total Defense,123,549.5,New Mexico St. Aggies,2014
Rushing Defense,123,299.5,New Mexico St. Aggies,2014
Passing Yards Allowed,91,250.0,New Mexico St. Aggies,2014
Team Passing Efficiency Defense,110,153.64,New Mexico St. Aggies,2014
Scoring Defense,120,44.6,New Mexico St. Aggies,2014
Turnover Margin,97,-0.50,New Mexico St. Aggies,2014
3rd Down Conversion Pct,88,0.367,New Mexico St. Aggies,2014
4th Down Conversion Pct,T-105,0.364,New Mexico St. Aggies,2014
3rd Down Conversion Pct Defense,103,0.452,New Mexico St. Aggies,2014
4th Down Conversion Pct Defense,T-75,0.556,New Mexico St. Aggies,2014
Red Zone Offense,8,0.914,New Mexico St. Aggies,2014
Red Zone Defense,44,0.810,New Mexico St. Aggies,2014
Net Punting,35,38.01,New Mexico St. Aggies,2014
Punt Returns,88,6.50,New Mexico St. Aggies,2014
Kickoff Returns,119,17.40,New Mexico St. Aggies,2014
First Downs Offense,88,238,New Mexico St. Aggies,2014
First Downs Defense,103,290,New Mexico St. Aggies,2014
Fewest Penalties Per Game,18,4.25,New Mexico St. Aggies,2014
Fewest Penalty Yards Per Game,T-21,37.92,New Mexico St. Aggies,2014
Time of Possession,70,29:25,New Mexico St. Aggies,2014
Total Offense,49,425.7,North Carolina  Tar Heels,2014
Rushing Offense,84,148.3,North Carolina  Tar Heels,2014
Passing Offense,28,277.4,North Carolina  Tar Heels,2014
Team Passing Efficiency,31,144.88,North Carolina  Tar Heels,2014
Scoring Offense,43,32.7,North Carolina  Tar Heels,2014
Total Defense,64,403.2,North Carolina  Tar Heels,2014
Rushing Defense,82,182.5,North Carolina  Tar Heels,2014
Passing Yards Allowed,50,220.7,North Carolina  Tar Heels,2014
Team Passing Efficiency Defense,32,119.06,North Carolina  Tar Heels,2014
Scoring Defense,43,24.5,North Carolina  Tar Heels,2014
Turnover Margin,T-48,0.15,North Carolina  Tar Heels,2014
3rd Down Conversion Pct,56,0.410,North Carolina  Tar Heels,2014
4th Down Conversion Pct,T-12,0.667,North Carolina  Tar Heels,2014
3rd Down Conversion Pct Defense,67,0.400,North Carolina  Tar Heels,2014
4th Down Conversion Pct Defense,T-10,0.333,North Carolina  Tar Heels,2014
Red Zone Offense,16,0.894,North Carolina  Tar Heels,2014
Red Zone Defense,T-77,0.844,North Carolina  Tar Heels,2014
Net Punting,10,40.25,North Carolina  Tar Heels,2014
Punt Returns,1,18.13,North Carolina  Tar Heels,2014
Kickoff Returns,19,23.80,North Carolina  Tar Heels,2014
First Downs Offense,54,279,North Carolina  Tar Heels,2014
First Downs Defense,81,278,North Carolina  Tar Heels,2014
Fewest Penalties Per Game,111,7.38,North Carolina  Tar Heels,2014
Fewest Penalty Yards Per Game,109,63.92,North Carolina  Tar Heels,2014
Time of Possession,109,27:17,North Carolina  Tar Heels,2014
Total Offense,63,410.5,North Texas Mean Green,2014
Rushing Offense,49,180.7,North Texas Mean Green,2014
Passing Offense,66,229.8,North Texas Mean Green,2014
Team Passing Efficiency,53,133.51,North Texas Mean Green,2014
Scoring Offense,49,31.8,North Texas Mean Green,2014
Total Defense,17,348.3,North Texas Mean Green,2014
Rushing Defense,14,120.5,North Texas Mean Green,2014
Passing Yards Allowed,61,227.8,North Texas Mean Green,2014
Team Passing Efficiency Defense,24,116.31,North Texas Mean Green,2014
Scoring Defense,8,17.8,North Texas Mean Green,2014
Turnover Margin,15,0.85,North Texas Mean Green,2014
3rd Down Conversion Pct,20,0.470,North Texas Mean Green,2014
4th Down Conversion Pct,T-49,0.533,North Texas Mean Green,2014
3rd Down Conversion Pct Defense,34,0.363,North Texas Mean Green,2014
4th Down Conversion Pct Defense,T-5,0.308,North Texas Mean Green,2014
Red Zone Offense,55,0.841,North Texas Mean Green,2014
Red Zone Defense,2,0.629,North Texas Mean Green,2014
Net Punting,86,36.00,North Texas Mean Green,2014
Punt Returns,5,14.28,North Texas Mean Green,2014
Kickoff Returns,17,23.83,North Texas Mean Green,2014
First Downs Offense,T-54,279,North Texas Mean Green,2014
First Downs Defense,T-15,231,North Texas Mean Green,2014
Fewest Penalties Per Game,87,6.31,North Texas Mean Green,2014
Fewest Penalty Yards Per Game,85,52.85,North Texas Mean Green,2014
Time of Possession,19,32:13,North Texas Mean Green,2014
Total Offense,73,399.6,Northwestern Wildcats,2014
Rushing Offense,62,172.4,Northwestern Wildcats,2014
Passing Offense,69,227.2,Northwestern Wildcats,2014
Team Passing Efficiency,67,129.18,Northwestern Wildcats,2014
Scoring Offense,83,26.2,Northwestern Wildcats,2014
Total Defense,88,423.5,Northwestern Wildcats,2014
Rushing Defense,68,167.3,Northwestern Wildcats,2014
Passing Yards Allowed,99,256.2,Northwestern Wildcats,2014
Team Passing Efficiency Defense,53,124.04,Northwestern Wildcats,2014
Scoring Defense,68,27.1,Northwestern Wildcats,2014
Turnover Margin,41,0.25,Northwestern Wildcats,2014
3rd Down Conversion Pct,65,0.399,Northwestern Wildcats,2014
4th Down Conversion Pct,89,0.429,Northwestern Wildcats,2014
3rd Down Conversion Pct Defense,69,0.401,Northwestern Wildcats,2014
4th Down Conversion Pct Defense,T-53,0.500,Northwestern Wildcats,2014
Red Zone Offense,3,0.957,Northwestern Wildcats,2014
Red Zone Defense,91,0.864,Northwestern Wildcats,2014
Net Punting,118,33.19,Northwestern Wildcats,2014
Punt Returns,79,7.11,Northwestern Wildcats,2014
Kickoff Returns,58,21.73,Northwestern Wildcats,2014
First Downs Offense,T-73,255,Northwestern Wildcats,2014
First Downs Defense,T-97,287,Northwestern Wildcats,2014
Fewest Penalties Per Game,T-12,4.08,Northwestern Wildcats,2014
Fewest Penalty Yards Per Game,14,34.75,Northwestern Wildcats,2014
Time of Possession,80,29:15,Northwestern Wildcats,2014
Total Offense,67,406.2,Notre Dame Fighting Irish,2014
Rushing Offense,80,151.3,Notre Dame Fighting Irish,2014
Passing Offense,39,254.8,Notre Dame Fighting Irish,2014
Team Passing Efficiency,56,132.26,Notre Dame Fighting Irish,2014
Scoring Offense,74,27.2,Notre Dame Fighting Irish,2014
Total Defense,31,366.2,Notre Dame Fighting Irish,2014
Rushing Defense,70,168.0,Notre Dame Fighting Irish,2014
Passing Yards Allowed,15,198.2,Notre Dame Fighting Irish,2014
Team Passing Efficiency Defense,39,120.85,Notre Dame Fighting Irish,2014
Scoring Defense,27,22.4,Notre Dame Fighting Irish,2014
Turnover Margin,T-61,0.00,Notre Dame Fighting Irish,2014
3rd Down Conversion Pct,52,0.420,Notre Dame Fighting Irish,2014
4th Down Conversion Pct,102,0.385,Notre Dame Fighting Irish,2014
3rd Down Conversion Pct Defense,87,0.419,Notre Dame Fighting Irish,2014
4th Down Conversion Pct Defense,T-8,0.316,Notre Dame Fighting Irish,2014
Red Zone Offense,77,0.800,Notre Dame Fighting Irish,2014
Red Zone Defense,45,0.813,Notre Dame Fighting Irish,2014
Net Punting,105,34.69,Notre Dame Fighting Irish,2014
Punt Returns,80,7.07,Notre Dame Fighting Irish,2014
Kickoff Returns,21,23.76,Notre Dame Fighting Irish,2014
First Downs Offense,66,267,Notre Dame Fighting Irish,2014
First Downs Defense,T-83,280,Notre Dame Fighting Irish,2014
Fewest Penalties Per Game,66,5.62,Notre Dame Fighting Irish,2014
Fewest Penalty Yards Per Game,59,46.00,Notre Dame Fighting Irish,2014
Time of Possession,83,29:06,Notre Dame Fighting Irish,2014
Total Offense,83,379.4,Ohio Bobcats,2014
Rushing Offense,98,134.0,Ohio Bobcats,2014
Passing Offense,52,245.4,Ohio Bobcats,2014
Team Passing Efficiency,51,134.25,Ohio Bobcats,2014
Scoring Offense,73,27.4,Ohio Bobcats,2014
Total Defense,67,405.8,Ohio Bobcats,2014
Rushing Defense,85,187.9,Ohio Bobcats,2014
Passing Yards Allowed,43,217.9,Ohio Bobcats,2014
Team Passing Efficiency Defense,81,133.21,Ohio Bobcats,2014
Scoring Defense,71,27.5,Ohio Bobcats,2014
Turnover Margin,73,-0.15,Ohio Bobcats,2014
3rd Down Conversion Pct,75,0.392,Ohio Bobcats,2014
4th Down Conversion Pct,T-95,0.417,Ohio Bobcats,2014
3rd Down Conversion Pct Defense,99,0.442,Ohio Bobcats,2014
4th Down Conversion Pct Defense,T-85,0.571,Ohio Bobcats,2014
Red Zone Offense,68,0.818,Ohio Bobcats,2014
Red Zone Defense,9,0.721,Ohio Bobcats,2014
Net Punting,78,36.45,Ohio Bobcats,2014
Punt Returns,44,9.62,Ohio Bobcats,2014
Kickoff Returns,86,20.07,Ohio Bobcats,2014
First Downs Offense,73,255,Ohio Bobcats,2014
First Downs Defense,70,267,Ohio Bobcats,2014
Fewest Penalties Per Game,69,5.69,Ohio Bobcats,2014
Fewest Penalty Yards Per Game,92,54.77,Ohio Bobcats,2014
Time of Possession,113,27:12,Ohio Bobcats,2014
Total Offense,7,511.9,Ohio St. Buckeyes,2014
Rushing Offense,5,308.6,Ohio St. Buckeyes,2014
Passing Offense,88,203.3,Ohio St. Buckeyes,2014
Team Passing Efficiency,10,158.82,Ohio St. Buckeyes,2014
Scoring Offense,3,45.5,Ohio St. Buckeyes,2014
Total Defense,46,377.4,Ohio St. Buckeyes,2014
Rushing Defense,9,109.4,Ohio St. Buckeyes,2014
Passing Yards Allowed,110,268.0,Ohio St. Buckeyes,2014
Team Passing Efficiency Defense,83,133.98,Ohio St. Buckeyes,2014
Scoring Defense,28,22.6,Ohio St. Buckeyes,2014
Turnover Margin,36,0.36,Ohio St. Buckeyes,2014
3rd Down Conversion Pct,22,0.467,Ohio St. Buckeyes,2014
4th Down Conversion Pct,19,0.636,Ohio St. Buckeyes,2014
3rd Down Conversion Pct Defense,30,0.356,Ohio St. Buckeyes,2014
4th Down Conversion Pct Defense,71,0.542,Ohio St. Buckeyes,2014
Red Zone Offense,4,0.952,Ohio St. Buckeyes,2014
Red Zone Defense,33,0.791,Ohio St. Buckeyes,2014
Net Punting,5,40.84,Ohio St. Buckeyes,2014
Punt Returns,60,8.10,Ohio St. Buckeyes,2014
Kickoff Returns,42,22.69,Ohio St. Buckeyes,2014
First Downs Offense,5,361,Ohio St. Buckeyes,2014
First Downs Defense,91,283,Ohio St. Buckeyes,2014
Fewest Penalties Per Game,47,5.21,Ohio St. Buckeyes,2014
Fewest Penalty Yards Per Game,56,45.57,Ohio St. Buckeyes,2014
Time of Possession,33,31:24,Ohio St. Buckeyes,2014
Total Offense,52,423.0,Oklahoma  Sooners,2014
Rushing Offense,18,223.9,Oklahoma  Sooners,2014
Passing Offense,90,199.1,Oklahoma  Sooners,2014
Team Passing Efficiency,60,130.44,Oklahoma  Sooners,2014
Scoring Offense,40,32.8,Oklahoma  Sooners,2014
Total Defense,20,350.2,Oklahoma  Sooners,2014
Rushing Defense,25,137.6,Oklahoma  Sooners,2014
Passing Yards Allowed,30,212.5,Oklahoma  Sooners,2014
Team Passing Efficiency Defense,29,117.65,Oklahoma  Sooners,2014
Scoring Defense,T-22,22.1,Oklahoma  Sooners,2014
Turnover Margin,21,0.62,Oklahoma  Sooners,2014
3rd Down Conversion Pct,69,0.395,Oklahoma  Sooners,2014
4th Down Conversion Pct,9,0.688,Oklahoma  Sooners,2014
3rd Down Conversion Pct Defense,18,0.337,Oklahoma  Sooners,2014
4th Down Conversion Pct Defense,16,0.357,Oklahoma  Sooners,2014
Red Zone Offense,31,0.873,Oklahoma  Sooners,2014
Red Zone Defense,T-87,0.857,Oklahoma  Sooners,2014
Net Punting,110,34.54,Oklahoma  Sooners,2014
Punt Returns,8,14.17,Oklahoma  Sooners,2014
Kickoff Returns,47,22.38,Oklahoma  Sooners,2014
First Downs Offense,52,280,Oklahoma  Sooners,2014
First Downs Defense,19,233,Oklahoma  Sooners,2014
Fewest Penalties Per Game,96,6.69,Oklahoma  Sooners,2014
Fewest Penalty Yards Per Game,94,55.62,Oklahoma  Sooners,2014
Time of Possession,18,32:18,Oklahoma  Sooners,2014
Total Offense,37,448.8,Oklahoma St. Cowboys,2014
Rushing Offense,63,171.6,Oklahoma St. Cowboys,2014
Passing Offense,29,277.2,Oklahoma St. Cowboys,2014
Team Passing Efficiency,55,132.74,Oklahoma St. Cowboys,2014
Scoring Offense,14,39.1,Oklahoma St. Cowboys,2014
Total Defense,52,384.9,Oklahoma St. Cowboys,2014
Rushing Defense,32,142.4,Oklahoma St. Cowboys,2014
Passing Yards Allowed,79,242.5,Oklahoma St. Cowboys,2014
Team Passing Efficiency Defense,6,104.56,Oklahoma St. Cowboys,2014
Scoring Defense,19,21.6,Oklahoma St. Cowboys,2014
Turnover Margin,4,1.15,Oklahoma St. Cowboys,2014
3rd Down Conversion Pct,79,0.388,Oklahoma St. Cowboys,2014
4th Down Conversion Pct,T-76,0.455,Oklahoma St. Cowboys,2014
3rd Down Conversion Pct Defense,7,0.314,Oklahoma St. Cowboys,2014
4th Down Conversion Pct Defense,T-53,0.500,Oklahoma St. Cowboys,2014
Red Zone Offense,T-27,0.875,Oklahoma St. Cowboys,2014
Red Zone Defense,7,0.711,Oklahoma St. Cowboys,2014
Net Punting,103,34.90,Oklahoma St. Cowboys,2014
Punt Returns,11,13.43,Oklahoma St. Cowboys,2014
Kickoff Returns,37,22.92,Oklahoma St. Cowboys,2014
First Downs Offense,44,287,Oklahoma St. Cowboys,2014
First Downs Defense,97,287,Oklahoma St. Cowboys,2014
Fewest Penalties Per Game,T-96,6.69,Oklahoma St. Cowboys,2014
Fewest Penalty Yards Per Game,102,60.00,Oklahoma St. Cowboys,2014
Time of Possession,116,26:44,Oklahoma St. Cowboys,2014
Total Offense,21,473.3,Ole Miss Rebels,2014
Rushing Offense,42,190.0,Ole Miss Rebels,2014
Passing Offense,23,283.3,Ole Miss Rebels,2014
Team Passing Efficiency,44,137.26,Ole Miss Rebels,2014
Scoring Offense,57,30.0,Ole Miss Rebels,2014
Total Defense,38,370.5,Ole Miss Rebels,2014
Rushing Defense,51,154.9,Ole Miss Rebels,2014
Passing Yards Allowed,36,215.5,Ole Miss Rebels,2014
Team Passing Efficiency Defense,40,120.93,Ole Miss Rebels,2014
Scoring Defense,37,23.7,Ole Miss Rebels,2014
Turnover Margin,T-56,0.08,Ole Miss Rebels,2014
3rd Down Conversion Pct,27,0.457,Ole Miss Rebels,2014
4th Down Conversion Pct,47,0.536,Ole Miss Rebels,2014
3rd Down Conversion Pct Defense,68,0.401,Ole Miss Rebels,2014
4th Down Conversion Pct Defense,73,0.550,Ole Miss Rebels,2014
Red Zone Offense,109,0.739,Ole Miss Rebels,2014
Red Zone Defense,85,0.851,Ole Miss Rebels,2014
Net Punting,42,37.75,Ole Miss Rebels,2014
Punt Returns,81,7.06,Ole Miss Rebels,2014
Kickoff Returns,95,19.44,Ole Miss Rebels,2014
First Downs Offense,23,317,Ole Miss Rebels,2014
First Downs Defense,T-64,266,Ole Miss Rebels,2014
Fewest Penalties Per Game,64,5.54,Ole Miss Rebels,2014
Fewest Penalty Yards Per Game,36,41.62,Ole Miss Rebels,2014
Time of Possession,65,29:44,Ole Miss Rebels,2014
Total Offense,2,565.0,Oregon  Ducks,2014
Rushing Offense,9,273.5,Oregon  Ducks,2014
Passing Offense,21,291.5,Oregon  Ducks,2014
Team Passing Efficiency,5,164.91,Oregon  Ducks,2014
Scoring Offense,4,45.5,Oregon  Ducks,2014
Total Defense,37,370.1,Oregon  Ducks,2014
Rushing Defense,66,165.5,Oregon  Ducks,2014
Passing Yards Allowed,21,204.5,Oregon  Ducks,2014
Team Passing Efficiency Defense,7,105.75,Oregon  Ducks,2014
Scoring Defense,13,20.5,Oregon  Ducks,2014
Turnover Margin,17,0.77,Oregon  Ducks,2014
3rd Down Conversion Pct,45,0.431,Oregon  Ducks,2014
4th Down Conversion Pct,63,0.484,Oregon  Ducks,2014
3rd Down Conversion Pct Defense,71,0.403,Oregon  Ducks,2014
4th Down Conversion Pct Defense,T-44,0.464,Oregon  Ducks,2014
Red Zone Offense,94,0.784,Oregon  Ducks,2014
Red Zone Defense,T-40,0.804,Oregon  Ducks,2014
Net Punting,27,38.49,Oregon  Ducks,2014
Punt Returns,19,12.39,Oregon  Ducks,2014
Kickoff Returns,59,21.69,Oregon  Ducks,2014
First Downs Offense,9,348,Oregon  Ducks,2014
First Downs Defense,74,271,Oregon  Ducks,2014
Fewest Penalties Per Game,120,8.15,Oregon  Ducks,2014
Fewest Penalty Yards Per Game,116,70.15,Oregon  Ducks,2014
Time of Possession,122,25:29,Oregon  Ducks,2014
Total Offense,26,467.0,Oregon St. Beavers,2014
Rushing Offense,115,94.4,Oregon St. Beavers,2014
Passing Offense,3,372.6,Oregon St. Beavers,2014
Team Passing Efficiency,29,146.13,Oregon St. Beavers,2014
Scoring Offense,29,34.8,Oregon St. Beavers,2014
Total Defense,100,436.6,Oregon St. Beavers,2014
Rushing Defense,88,190.3,Oregon St. Beavers,2014
Passing Yards Allowed,84,246.3,Oregon St. Beavers,2014
Team Passing Efficiency Defense,71,128.01,Oregon St. Beavers,2014
Scoring Defense,90,31.4,Oregon St. Beavers,2014
Turnover Margin,T-42,0.23,Oregon St. Beavers,2014
3rd Down Conversion Pct,58,0.406,Oregon St. Beavers,2014
4th Down Conversion Pct,45,0.538,Oregon St. Beavers,2014
3rd Down Conversion Pct Defense,73,0.404,Oregon St. Beavers,2014
4th Down Conversion Pct Defense,69,0.529,Oregon St. Beavers,2014
Red Zone Offense,87,0.794,Oregon St. Beavers,2014
Red Zone Defense,118,0.917,Oregon St. Beavers,2014
Net Punting,69,36.70,Oregon St. Beavers,2014
Punt Returns,T-96,5.72,Oregon St. Beavers,2014
Kickoff Returns,77,20.71,Oregon St. Beavers,2014
First Downs Offense,19,323,Oregon St. Beavers,2014
First Downs Defense,93,284,Oregon St. Beavers,2014
Fewest Penalties Per Game,T-87,6.31,Oregon St. Beavers,2014
Fewest Penalty Yards Per Game,79,50.62,Oregon St. Beavers,2014
Time of Possession,15,32:23,Oregon St. Beavers,2014
Total Offense,43,433.2,Penn St. Nittany Lions,2014
Rushing Offense,57,174.0,Penn St. Nittany Lions,2014
Passing Offense,37,259.2,Penn St. Nittany Lions,2014
Team Passing Efficiency,48,134.85,Penn St. Nittany Lions,2014
Scoring Offense,69,28.7,Penn St. Nittany Lions,2014
Total Defense,48,381.3,Penn St. Nittany Lions,2014
Rushing Defense,36,144.0,Penn St. Nittany Lions,2014
Passing Yards Allowed,73,237.3,Penn St. Nittany Lions,2014
Team Passing Efficiency Defense,50,123.32,Penn St. Nittany Lions,2014
Scoring Defense,59,26.2,Penn St. Nittany Lions,2014
Turnover Margin,T-74,-0.17,Penn St. Nittany Lions,2014
3rd Down Conversion Pct,101,0.343,Penn St. Nittany Lions,2014
4th Down Conversion Pct,44,0.542,Penn St. Nittany Lions,2014
3rd Down Conversion Pct Defense,39,0.365,Penn St. Nittany Lions,2014
4th Down Conversion Pct Defense,32,0.429,Penn St. Nittany Lions,2014
Red Zone Offense,67,0.820,Penn St. Nittany Lions,2014
Red Zone Defense,T-73,0.842,Penn St. Nittany Lions,2014
Net Punting,97,35.38,Penn St. Nittany Lions,2014
Punt Returns,63,8.00,Penn St. Nittany Lions,2014
Kickoff Returns,100,19.14,Penn St. Nittany Lions,2014
First Downs Offense,64,270,Penn St. Nittany Lions,2014
First Downs Defense,T-19,233,Penn St. Nittany Lions,2014
Fewest Penalties Per Game,T-26,4.58,Penn St. Nittany Lions,2014
Fewest Penalty Yards Per Game,10,33.58,Penn St. Nittany Lions,2014
Time of Possession,59,29:59,Penn St. Nittany Lions,2014
Total Offense,97,362.2,Pittsburgh  Panthers,2014
Rushing Offense,102,125.7,Pittsburgh  Panthers,2014
Passing Offense,59,236.5,Pittsburgh  Panthers,2014
Team Passing Efficiency,42,138.03,Pittsburgh  Panthers,2014
Scoring Offense,T-80,26.3,Pittsburgh  Panthers,2014
Total Defense,34,367.5,Pittsburgh  Panthers,2014
Rushing Defense,T-43,149.0,Pittsburgh  Panthers,2014
Passing Yards Allowed,44,218.5,Pittsburgh  Panthers,2014
Team Passing Efficiency Defense,80,133.07,Pittsburgh  Panthers,2014
Scoring Defense,69,27.2,Pittsburgh  Panthers,2014
Turnover Margin,T-68,-0.08,Pittsburgh  Panthers,2014
3rd Down Conversion Pct,82,0.382,Pittsburgh  Panthers,2014
4th Down Conversion Pct,T-57,0.500,Pittsburgh  Panthers,2014
3rd Down Conversion Pct Defense,52,0.383,Pittsburgh  Panthers,2014
4th Down Conversion Pct Defense,19,0.368,Pittsburgh  Panthers,2014
Red Zone Offense,52,0.844,Pittsburgh  Panthers,2014
Red Zone Defense,119,0.925,Pittsburgh  Panthers,2014
Net Punting,112,34.46,Pittsburgh  Panthers,2014
Punt Returns,35,10.56,Pittsburgh  Panthers,2014
Kickoff Returns,54,21.98,Pittsburgh  Panthers,2014
First Downs Offense,79,250,Pittsburgh  Panthers,2014
First Downs Defense,T-30,243,Pittsburgh  Panthers,2014
Fewest Penalties Per Game,74,5.77,Pittsburgh  Panthers,2014
Fewest Penalty Yards Per Game,62,46.54,Pittsburgh  Panthers,2014
Time of Possession,42,30:47,Pittsburgh  Panthers,2014
Total Offense,68,405.6,Rice Owls,2014
Rushing Offense,17,227.4,Rice Owls,2014
Passing Offense,103,178.2,Rice Owls,2014
Team Passing Efficiency,78,125.24,Rice Owls,2014
Scoring Offense,62,29.6,Rice Owls,2014
Total Defense,30,364.1,Rice Owls,2014
Rushing Defense,61,161.4,Rice Owls,2014
Passing Yards Allowed,18,202.7,Rice Owls,2014
Team Passing Efficiency Defense,35,119.59,Rice Owls,2014
Scoring Defense,42,24.4,Rice Owls,2014
Turnover Margin,28,0.50,Rice Owls,2014
3rd Down Conversion Pct,70,0.394,Rice Owls,2014
4th Down Conversion Pct,39,0.563,Rice Owls,2014
3rd Down Conversion Pct Defense,27,0.349,Rice Owls,2014
4th Down Conversion Pct Defense,36,0.433,Rice Owls,2014
Red Zone Offense,12,0.902,Rice Owls,2014
Red Zone Defense,110,0.889,Rice Owls,2014
Net Punting,90,35.88,Rice Owls,2014
Punt Returns,90,6.29,Rice Owls,2014
Kickoff Returns,97,19.31,Rice Owls,2014
First Downs Offense,T-32,302,Rice Owls,2014
First Downs Defense,T-34,246,Rice Owls,2014
Fewest Penalties Per Game,53,5.29,Rice Owls,2014
Fewest Penalty Yards Per Game,54,45.29,Rice Owls,2014
Time of Possession,12,32:47,Rice Owls,2014
Total Offense,95,365.2,Rutgers Scarlet Knights,2014
Rushing Offense,100,129.5,Rutgers Scarlet Knights,2014
Passing Offense,62,235.6,Rutgers Scarlet Knights,2014
Team Passing Efficiency,93,118.98,Rutgers Scarlet Knights,2014
Scoring Offense,77,26.5,Rutgers Scarlet Knights,2014
